Food Code,Food Name,Description,Group,Main data references,Water (g),Protein (g),Fat (g),Carbohydrate (g),Energy (kcal),Energy (kJ),Starch (g),Total sugars (g),Glucose (g),Galactose (g),Fructose (g),Sucrose (g),Maltose (g),Lactose (g),Alcohol (g),NSP (g),AOAC fibre (g),Satd FA /100g fd (g),Mono FA /100g food (g),Poly FA /100g food (g),Trans FAs /100g food (g),Cholesterol (mg),Sodium (mg),Potassium (mg),Calcium (mg),Magnesium (mg),Phosphorus (mg),Iron (mg),Copper (mg),Zinc (mg),Chloride (mg),Manganese (mg),Selenium (µg),Iodine (µg),Retinol (µg),Carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K1 (µg),Thiamin (mg),Riboflavin (mg),Niacin (mg),Tryptophan/60 (mg),Vitamin B6 (mg),Vitamin B12 (µg),Folate (µg),Pantothenate (mg),Biotin (µg),Vitamin C (mg)
13-162,"Aubergine, fried in corn oil",Sliced; shallow fried 10 minutes,DG,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",59.5,1.2,31.9,2.8,302,1246,0.2,2.6,1.4,0.0,1.1,0.1,0.0,0.0,0.0,2.3,NULL,4.10,7.90,18.50,NULL,0.0,2,170,8,8,25,0.50,0.03,0.1,16,0.20,1,1,0,125,0.0,5.50,10.30,0.01,0.01,0.01,0.2,0.07,0.0,5,0.07,NULL,1
13-577,"Aubergine, fried in rapeseed oil",Calculated from fried in corn oil and 17-686,DG,"Updated 2014. Calculated using data from Vegetables, Herbs and Spices Supplement (1991) 13-162, Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",59.5,1.2,31.9,2.8,302,1262,0.2,2.6,1.4,0.0,1.1,0.1,0.0,0.0,0.0,2.3,NULL,2.18,16.68,9.43,0.01,0.0,2,170,8,8,25,0.50,0.03,0.1,16,0.20,1,1,0,125,0.0,7.03,NULL,0.00,0.01,0.01,0.2,0.07,0.0,5,0.07,NULL,1
13-161,"Aubergine, raw",Ends trimmed,DG,"Reviewed 2013. IFR, The nutritional composition of retail vegetables in the UK, 1984-1987. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",92.9,0.9,0.4,2.2,15,64,0.2,2.0,1.1,0.0,0.8,0.1,0.0,0.0,0.0,2.0,NULL,0.10,0.01,0.20,0.00,0.0,2,210,10,11,16,0.30,0.01,0.2,14,0.10,1,1,0,70,0.0,0.03,6.10,0.02,0.01,0.1,0.2,0.08,0.0,18,0.08,NULL,4
15-001,"Aubergine, stuffed with lentils and vegetables",Recipe from dietary survey records. Whole dish consumed,DR,As Vegetable Dishes Supplement 1992,85.5,2.0,4.6,3.9,64,267,2.1,1.7,0.8,0.0,0.7,0.1,0.0,0.0,NULL,1.9,NULL,0.50,1.60,2.20,NULL,0.0,79,240,12,12,38,0.80,0.11,0.3,31,0.20,7,NULL,0,125,0.0,1.21,NULL,0.04,0.03,0.5,0.3,0.09,0.0,10,NULL,NULL,3
15-662,"Aubergine, stuffed with rice","Rice, tomato, onion and raisin stuffing. Recipe from review of recipe collection. Whole dish consumed",DR,Updated 2014,77.3,1.9,2.1,15.9,86,364,9.8,6.0,3.0,NULL,2.7,0.2,0.0,0.0,0.0,2.1,NULL,0.22,1.01,0.70,0.01,0.0,7,280,21,15,33,0.58,0.06,0.3,53,0.19,3,1,0,143,0.0,0.50,NULL,0.04,0.01,0.4,0.4,0.09,0.0,12,0.12,NULL,5
15-663,"Aubergine, stuffed with vegetables, cheese topping","Tomato, mushroom and onion stuffing. Recipe from review of recipe collection. Whole dish consumed",DR,Updated 2014,75.3,5.0,9.7,3.6,119,496,0.2,3.2,1.5,NULL,1.4,0.3,0.0,0.0,NULL,2.2,NULL,3.48,3.90,1.61,0.21,13.9,109,396,125,21,119,0.60,0.11,0.9,217,0.17,5,6,52,273,0.0,1.24,NULL,0.07,0.12,0.9,1.3,0.13,0.3,34,0.73,NULL,7
14-039,"Avocado, Fuerte, flesh only",10 samples and literature,FA,"LGC, Fruit and vegetables, 1989-1990",73.1,2.1,19.3,1.9,189,780,0.01,0.5,0.3,NULL,0.1,0.1,0.0,0.0,NULL,3.4,NULL,3.50,12.90,1.80,NULL,0.0,9,430,11,25,43,0.40,0.35,0.6,9,0.20,0.01,2,0,16,0.0,3.20,NULL,0.12,0.19,1.0,0.4,0.34,0.0,13,1.10,3.6,5
14-040,"Avocado, Fuerte, flesh only, weighed with skin and stone",Calculated from 14-039,FA,"LGC, Fruit and vegetables, 1989-1990",51.9,1.5,13.7,1.3,134,553,0.01,0.4,0.2,NULL,0.1,0.1,0.0,0.0,NULL,2.4,NULL,2.50,9.20,1.30,NULL,0.0,6,310,8,18,31,0.30,0.25,0.4,6,0.10,0.01,1,0,11,0.0,2.27,NULL,0.09,0.13,0.7,0.3,0.24,0.0,9,0.78,2.6,3
14-386,"Avocado, Hass, flesh only","11 samples, imported, Hass variety, ripe and ripen at home",FA,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",71.5,1.8,17.4,1.7999999999999998,171,703,0.01,0.4,0.2,0,0.2,0.01,0,0,0,3.4,3.1,4.15,9.98,2.3,0,0,7,583,19,27,57,0.51,0.25,0.6,17,0.28,0.01,1,0,16,0,2.19,NULL,0.09,0.09,2.1,0.4,0.3,0,31,1.34,2.4,1
14-387,"Avocado, Hass, flesh only, weighed with skin and stone",Calculated from 14-386,FA,"PHE, Nutrient analysis of fresh and processed fruit and vegetables with respect to fibre, 2017",49.3,1.3,12,1.3,118,486,0.01,0.3,0.1,0,0.1,0.01,0,0,0,2.3,2.1,2.86,6.89,1.59,0,0,5,402,13,19,39,0.35,0.17,0.38,12,0.19,0.01,0.01,0,11,0,1.51,NULL,0.06,0.06,1.45,0.26,0.21,0,21.6,0.92,1.6,0.8
16-001,"Ayr, raw",Literature sources. Imported frozen from Bangladesh,JA,"Gopalan et al (1980) Nutritive value of Indian foods. National Insitute of Nutrition, Indian Council of Medical Research",78.1,15.9,1.3,0.0,75,318,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,380,NULL,180,0.70,0.06,NULL,NULL,NULL,NULL,NULL,0.01,0.01,0.01,NULL,NULL,NULL,NULL,0.5,3.0,NULL,NULL,NULL,NULL,NULL,0.01
14-043,"Babaco, flesh only",Literature sources,FA,"Cashel et al (1989) Composition of foods, Australia, volume 1, and Wu Leung and Flores (1961) Food composition table for use in Latin America, Institute of Nutrition of Central America and Panama",93.9,1.1,0.1,3.1,17,72,0.0,3.1,1.3,NULL,1.1,0.7,0.0,0.0,NULL,NULL,NULL,0.01,0.01,0.01,NULL,0.0,2,140,11,6,14,0.40,NULL,0.1,NULL,NULL,NULL,NULL,0,175,0.0,NULL,NULL,0.03,0.04,0.7,NULL,NULL,0.0,NULL,NULL,NULL,26
16-169,"Bacha, raw",Literature sources. Imported frozen from Bangladesh,JC,"Gopalan et al (1980) Nutritive value of Indian foods. National Insitute of Nutrition, Indian Council of Medical Research",68.8,18.1,5.6,0.0,123,515,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,520,NULL,180,0.70,0.11,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL,NULL,0.6,3.4,NULL,NULL,NULL,NULL,NULL,0.01
19-644,"Bacon loin steaks, lean, grilled","7 samples; smoked and unsmoked, loose and prepacked Danish bacon",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",60.6,28.9,4.3,1.1,158,668,0.0,1.1,NULL,0.0,NULL,NULL,0.0,0.0,0.0,0.0,NULL,1.55,1.82,0.62,0.02,31.0,990,370,6,23,220,0.60,0.07,1.9,1690,0.01,13,8,0.01,0.01,0.3,0.04,NULL,1.19,0.13,7.8,4.8,0.58,1.0,3,1.35,5.0,0.01
19-645,"Bacon rashers, back, dry-cured, grilled","7 samples; smoked and unsmoked, loose and prepacked  British and Irish bacon",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",50.7,28.4,15.9,0.0,257,1071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.00,6.70,2.10,0.01,57.0,1730,400,9,26,240,0.80,0.08,2.4,2240,0.01,14,9,0.01,0.01,0.8,0.08,NULL,1.09,0.19,8.5,3.5,0.56,1.0,3,1.48,6.0,0.01
19-498,"Bacon rashers, back, dry-fried","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",49.7,24.2,22.0,0.0,295,1225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.30,9.20,2.80,0.10,65.0,1410,360,6,21,180,0.60,0.06,1.9,2600,0.01,18,7,0.01,0.01,0.6,0.07,NULL,0.86,0.14,6.8,4.4,0.53,1.0,2,1.26,5.0,0.01
19-499,"Bacon rashers, back, fat trimmed, grilled","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon, back fat removed",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",56.2,25.7,12.3,0.0,214,892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.60,5.20,1.60,0.10,44.0,1430,360,8,23,210,0.70,0.07,2.2,1850,0.01,13,8,0.01,0.01,0.7,0.07,NULL,0.98,0.17,7.7,4.7,0.50,1.0,3,1.34,5.0,0.01
19-646,"Bacon rashers, back, fat trimmed, raw","24 samples, back fat removed. MLC data and calculation from 19-499",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; industry data 2013; vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",69.5,18.8,6.7,0.0,136,568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.50,2.80,0.90,0.01,31.0,1000,250,6,16,150,0.50,0.05,1.5,1290,0.01,9,6,0.01,0.01,0.5,0.05,0.01,0.68,0.12,5.4,3.3,0.35,1.0,2,0.93,4.0,0.01
19-500,"Bacon rashers, back, grilled","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",50.4,23.2,21.6,0.0,287,1194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.10,9.00,2.80,0.01,75.0,1390,340,7,21,180,0.60,0.05,1.7,2060,0.01,12,7,0.01,0.01,0.6,0.07,NULL,1.16,0.15,7.2,3.8,0.52,1.0,5,1.24,3.0,0.01
19-501,"Bacon rashers, back, grilled crispy","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",37.8,36.0,18.8,0.0,313,1308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.10,7.90,2.40,0.10,68.0,2000,510,10,32,300,1.10,0.10,3.1,2600,0.01,18,11,0.01,0.01,1.0,0.10,NULL,1.38,0.24,10.8,6.6,0.71,1.0,4,1.34,5.0,0.01
19-502,"Bacon rashers, back, microwaved","15 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",45.5,24.2,23.3,0.0,307,1274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.80,9.80,3.00,0.10,84.0,1730,360,8,23,200,0.70,0.06,2.0,1750,0.01,12,7,0.01,0.01,0.6,0.07,NULL,1.10,0.16,7.9,4.4,0.55,1.0,2,1.26,5.0,0.01
19-497,"Bacon rashers, back, raw","10 samples; smoked and unsmoked, loose and prepacked British, Danish and Dutch bacon",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2013",63.9,16.5,16.5,0.0,215,891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.20,6.90,2.20,0.10,53.0,1140,300,5,17,150,0.40,0.06,1.2,1740,0.01,8,5,0.01,0.01,0.3,0.02,NULL,0.63,0.11,5.6,2.6,0.46,0.01,3,1.00,2.0,1
19-009,"Bacon rashers, back, reduced salt, grilled","6 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; Na reviewed 2014",51.6,24.1,20.6,0.0,282,1172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.80,8.70,2.70,0.10,74.0,1130,340,7,22,200,0.70,0.09,2.1,1500,0.01,12,7,0.01,0.01,0.6,0.07,NULL,0.92,0.16,7.2,4.4,0.47,1.0,2,1.25,5.0,0.01
19-659,"Bacon rashers, back, smoked, grilled",9 samples; loose and prepacked British and Danish bacon,MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",50.5,23.4,22.1,0.0,293,1216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.30,9.30,2.90,0.10,80.0,1390,330,7,21,190,0.70,0.06,2.2,2060,0.01,12,7,0.01,0.01,0.6,0.07,NULL,0.90,0.16,7.0,4.3,0.46,1.0,2,1.22,5.0,0.01
19-647,"Bacon rashers, back, sweetcure, grilled","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",52.8,23.8,17.4,1.6,258,1074,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.60,7.30,2.20,0.10,63.0,1390,340,7,21,200,0.80,0.09,2.4,2060,0.01,12,7,0.01,0.01,0.6,0.07,NULL,0.91,0.16,7.1,4.4,0.47,1.0,3,1.24,5.0,0.01
19-660,"Bacon rashers, back, 'tendersweet', grilled","10 samples; smoked and unsmoked, loose and prepacked British bacon",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",55.4,26.4,11.9,0.01,213,889,0.0,0.01,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0.0,0.0,4.50,5.00,1.50,0.01,43.0,1390,370,8,24,220,0.80,0.09,2.4,2060,0.01,12,7,0.01,0.01,0.6,0.08,NULL,1.01,0.18,7.9,4.8,0.51,1.0,3,1.37,5.0,0.01
19-648,"Bacon rashers, middle, fried in corn oil","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and industry data, 2014",43.6,23.4,28.5,0.0,350,1452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.80,11.90,4.80,0.13,84.0,1390,350,10,20,210,0.70,0.07,2.3,2060,0.01,12,7,0.01,0.01,0.6,NULL,NULL,0.64,0.14,7.3,4.3,0.46,1.0,6,1.22,5.0,0.01
19-503,"Bacon rashers, middle, grilled","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",47.8,24.8,23.1,0.0,307,1276,0.0,0.0,0.0,NULL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.40,10.00,3.00,0.14,83.0,1390,350,8,21,220,0.70,0.07,2.2,2060,0.01,11,8,0.01,0.01,0.6,0.13,NULL,0.77,0.17,7.5,5.1,0.42,1.0,3,1.27,6.0,0.01
19-649,"Bacon rashers, middle, raw","9 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994; and calculated from industry raw data, 2013",59.9,15.2,20.0,0.0,241,998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.30,8.60,2.50,0.14,58.0,1050,260,6,16,160,0.40,0.08,1.5,1110,0.01,7,6,0.01,0.01,0.5,0.07,NULL,0.58,0.11,4.9,2.5,0.41,1.0,5,0.99,3.0,0.01
19-504,"Bacon rashers, streaky, fried in corn oil","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,"LGC, Nutrient analysis of retail cuts of bacon, 1993-1994",45.1,23.8,26.6,0.0,335,1389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.10,11.10,4.50,0.10,78.0,1680,350,7,21,200,0.70,0.07,2.1,2630,0.01,10,7,0.01,0.01,0.6,NULL,NULL,0.75,0.14,7.1,4.4,0.47,1.0,1,1.24,5.0,0.01
19-018,"Bacon rashers, streaky, grilled","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of bacon, 1993-1994",44.0,23.8,26.9,0.0,337,1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.80,11.50,3.70,0.10,90.0,1680,330,9,20,180,0.80,0.15,2.5,2630,0.01,11,6,0.01,0.01,0.7,0.07,NULL,0.70,0.17,6.3,4.3,0.40,1.0,3,1.22,4.0,0.01
19-016,"Bacon rashers, streaky, raw","10 samples; smoked and unsmoked, loose and prepacked British and Danish bacon",MAA,"Reviewed 2013. LGC, Nutrient analysis of retail cuts of bacon, 1993-1994",57.3,15.8,23.6,0.0,276,1142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NULL,8.20,10.20,3.50,0.10,65.0,1260,250,6,15,140,0.50,0.06,1.5,1500,0.01,7,7,0.01,0.01,0.9,0.07,NULL,0.45,0.14,4.7,2.7,0.30,1.0,3,0.92,2.0,0.01
19-537,"Bacon, fat only, average, cooked",Fat from five different cuts,MAA,"MW4, 1978; and industry data, 2013. Vitamin K1 from Bolton-Smith et al Br.J. Nutr.83, 2000",13.8,9.3,72.8,0.0,692,2852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.50,32.90,7.60,NULL,270.0,740,130,7,10,90,0.80,0.09,0.8,1136,0.01,2,11,0.01,0.01,NULL,0.36,0.01,NULL,NULL,NULL,1.7,NULL,0.01,0.01,NULL,0.01,0
19-650,"Bacon, fat only, average, raw",Fat from five different cuts,MAA,"MW4, 1978; and industry data, 2013",12.8,4.8,80.9,0.0,747,3075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.50,36.10,8.90,NULL,198.0,420,75,3,4,38,0.70,0.06,0.6,610,0.01,1,11,0.01,0.01,0.01,0.11,NULL,NULL,NULL,NULL,0.9,NULL,0.01,0.01,NULL,0.01,0
11-970,"Bagels, plain",2 brands,AP,"RHM, Nutrient content of selected foods, 1995; and industry data, 2013",32.1,10.0,1.8,57.8,273,1161,51.3,4.8,0.8,NULL,1.0,0.01,3.0,0.0,0.0,2.4,3.0,NULL,NULL,NULL,NULL,0.0,400,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,NULL,NULL,NULL,0
13-578,"Baked beans, canned in barbecue sauce","5 cans (Heinz), and manufacturer's data",DB,"Vegetables, Herbs and Spices Supplement, 1991; estimated from 13-532; and industry data, 2014",71.8,5.3,0.4,14.0,77,329,9.2,4.8,0.9,0.0,1.1,2.8,0.0,0.0,0.0,3.8,4.9,NULL,NULL,NULL,0.01,0.0,260,NULL,NULL,NULL,NULL,NULL,NULL,NULL,471,NULL,NULL,NULL,0,NULL,0.0,NULL,NULL,NULL,NULL,NULL,0.9,NULL,0.0,NULL,NULL,NULL,0.01
13-532,"Baked beans, canned in tomato sauce","16 samples, 9 brands",DB,"DH, Nutrient analysis of fruit and vegetables, 2013",72.8,5.0,0.5,15.0,81,343,10.2,4.8,0.6,0.0,0.8,3.4,0.0,0.0,NULL,3.8,4.9,0.09,0.06,0.27,0.01,0.0,261,272,42,30,88,1.42,0.24,0.6,471,0.33,3,0.01,0,23,0.0,0.35,NULL,0.21,0.03,0.7,1.0,0.13,0.0,29,0.11,2.5,0.01
13-535,"Baked beans, canned in tomato sauce, reduced sugar, reduced salt",Estimated from 13-532 and industry data,DB,"DH, Nutrient analysis of fruit and vegetables, 2013; and industry data, 2013",72.8,5,0.5,13.5,75,320,10.2,3.3,0.6,0.0,0.8,1.9,0.0,0.0,NULL,3.8,4.9,0.09,0.06,0.27,0.01,0.0,190,272,42,30,88,1.42,0.24,0.6,340,0.33,3,0.01,0,23,0.0,0.35,NULL,0.21,0.03,0.7,1.0,0.13,0.0,29,0.11,2.5,0.01
13-579,"Baked beans, canned in tomato sauce, with pork sausages","LGC; 10 cans, 3 brands",DB,"Vegetables, Herbs and Spices Supplement, 1991; and indsutry data, 2014",72.5,6.0,4.5,11.0,98,411,7.0,4.0,0.5,0.0,0.7,2.8,0.0,0.0,0.0,2.8,3.3,NULL,NULL,NULL,0.01,NULL,260,250,39,27,93,1.50,0.02,0.6,390,0.30,NULL,NULL,0.01,56,0.01,NULL,NULL,0.08,0.07,0.1,1.1,0.12,NULL,16,NULL,NULL,0.01
17-355,Baking powder,6 samples of the same brand,WY,"Reviewed 2013. MW4, 1978",6.3,5.2,0.0,37.8,163,693,37.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.0,11800,49,1130,9,8430,0.01,0.01,2.8,29,0.01,0.01,0.01,0,0,0.0,0.01,NULL,0.01,0.01,0.01,1.0,0.01,0.0,0.01,0.01,0.01,0
11-1029,"Banana bread, homemade",Recipe,AN,Based on Mary Berry's complete cookbook. Recalculated 2014,27.4,4.4,12.4,53.9,331,1396,17.4,36.3,7.6,NULL,6.4,19.9,2.2,0.01,NULL,1.4,NULL,3.27,4.42,3.85,0.02,30.8,171,285,85,26,150,1.10,0.19,0.5,185,0.49,NULL,NULL,NULL,81,NULL,NULL,NULL,0.11,0.07,0.6,0.9,0.17,0.2,11,0.32,4.1,2
12-556,"Banana split, homemade",Recipe,BP,Updated 2014,63.7,2.3,11.8,23.9,205,858,0.9,18.4,4.3,NULL,2.3,8.7,0.8,2.6,NULL,0.5,0.6,6.91,3.32,0.71,0.27,24.4,38,224,48,21,56,0.36,0.06,0.3,102,0.18,1,16,106,77,0.0,0.83,NULL,0.14,0.16,0.6,0.5,0.13,0.4,12,0.39,3.8,4
14-318,"Bananas, flesh only","11 samples, including Fairtrade and organic, pre-packed and loose",FA,"DH, Nutrient analysis of fruit and vegetables, 2013",75.0,1.2,0.1,20.3,81,348,2.2,18.1,7.9,0.01,7.5,2.7,0.0,0.0,0.0,0.8,1.4,0.04,0.01,0.04,0.00,0.0,0.01,330,6,27,23,0.27,0.10,0.2,109,0.36,0.01,3,0,26,0.0,0.16,0.06,0.15,0.04,0.7,0.2,0.31,0.0,14,0.35,2.5,9
14-347,"Bananas, raw, flesh only, weighed with skin",Calculated from 14-318 using edible factor of 0.87,FA,"DH, Nutrient analysis of fruit and vegetables, 2013. Vitamin K1 calculated from Bolton-Smith et al, Br.J. Nutr 83, 2000.",47.3,0.8,0.01,12.8,51,217,1.4,11.4,5.0,0.0,4.7,1.7,0.0,0.0,0.0,0.5,0.9,0.03,0.01,0.03,0.00,0.0,0.01,208,4,17,14,0.17,0.06,0.1,69,0.23,0.01,2,0,16,0.0,0.10,0.04,0.09,0.03,0.5,0.2,0.20,0.0,9,0.22,1.6,5
11-1030,"Bannocks, made with beremeal, homemade",Recipe,AF,Updated 2014,25.9,9.3,1.7,56.8,266,1131,53.7,3.1,0.1,NULL,0.1,0.7,0.3,2.0,NULL,8.6,1.0,0.23,0.10,0.06,0.01,0.8,111,474,107,59,327,3.65,0.20,2.1,93,1.07,2,NULL,3,1,0.01,0.63,NULL,0.19,0.12,3.0,2.2,0.27,0.0,17,0.45,6.5,0.01
11-951,"Bannocks, made with wheat flour, homemade",Recipe,AF,Updated 2014,25.7,8.5,1.3,65.5,292,1246,63.1,2.4,0.01,NULL,0.01,0.4,0.1,2.0,NULL,2.7,3.1,0.46,0.22,0.19,0.01,0.8,152,309,134,23,218,1.52,0.12,0.7,155,0.55,3,NULL,3,1,0.01,0.46,NULL,0.18,0.09,1.3,1.9,0.12,0.0,8,0.35,2.2,0.01
17-705,Barbecue sauce,Literature sources (1980),WCN,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",61.6,1.0,0.1,36.1,140,598,6.2,29.9,NULL,0.0,NULL,NULL,0.0,0.0,0.0,0.5,1.2,0.00,0.00,0.10,NULL,0.0,630,240,17,23,27,0.60,0.11,0.2,970,0.10,0.01,1,0,505,0.0,0.91,NULL,0.03,0.02,0.4,0.1,0.04,0.0,5,0.10,1.0,3
17-769,"Barbecue sauce, homemade",Recipe,WC,Updated 2014,48.3,2.7,21.0,26.1,300,1251,0.1,21.5,1.8,NULL,2.0,17.1,0.0,0.1,NULL,1.1,1.7,12.45,5.91,0.98,0.68,50.7,392,277,74,32,39,2.28,0.10,0.5,698,0.30,0.01,NULL,228,194,0.2,0.77,NULL,0.10,0.17,0.6,0.7,0.12,0.1,5,0.10,0.7,2
14-804,"Barcelona nuts, Kernel only",Kernel only,GA,"MW4, 1978. Values reviewed for Fruit and Nuts Supplement, 1992",5.7,10.9,64.0,5.2,639,2637,1.8,3.4,0.0,NULL,0.0,3.4,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,3,940,170,200,300,3.00,0.96,NULL,34,NULL,NULL,NULL,0,0,0.0,NULL,NULL,0.11,NULL,NULL,3.1,NULL,0.0,NULL,NULL,NULL,0.01
14-805,"Barcelona nuts, kernel only, weighed with shells",Calculated from 14-804,GA,"MW4, 1978. Values reviewed for Fruit and Nuts Supplement, 1992",3.5,6.8,39.7,3.2,397,1636,1.1,2.1,0.0,NULL,0.0,2.1,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,2,580,110,120,190,1.90,0.59,NULL,21,NULL,NULL,NULL,0,0,0.0,NULL,NULL,0.07,NULL,NULL,1.9,NULL,0.0,NULL,NULL,NULL,0.01
17-844,"Barley water, diluted",Calculated from 50g concentrate to 200ml water,PCC,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",95.0,0.1,0.01,4.7,18,77,0.4,4.3,NULL,0.0,NULL,NULL,NULL,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.00,0.0,3,5,1,0,1,0.01,0.01,0.01,1,0.01,0.01,0.01,0,126,0.0,NULL,NULL,0.01,0.01,0.0,0.01,0.00,0.0,1,0.01,0.01,2
17-743,"Barley water, undiluted",Orange and lemon flavours,PCC,"Miscellaneous Foods Supplement, 1994; and industry data, 2013",75.2,0.3,0.01,23.7,90,384,2.2,21.5,NULL,0.0,NULL,NULL,NULL,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.00,0.0,15,27,5,2,4,0.01,0.01,0.01,3,0.01,0.01,0.01,0,630,0.0,NULL,NULL,0.01,0.01,0.1,0.01,0.01,0.0,5,0.01,0.01,10
